Direction,Ligand-receptor pair,Mean interaction  score in Control,Mean interaction  score in OW,Mean interaction  score in T2D,P_Global_KW,P_OW_vs_Control,P_T2D_vs_Control,P_T2D_vs_OW,Log2FC_OW_vs_Control,Log2FC_T2D_vs_Control,Log2FC_T2D_vs_OW,FDR_Global,FDR_T2D_Control,FDR_OW_Control,FDR_T2D_OW
PeriMac->Beta,TIMP1_CD63,0.79807612527649,1.02119398517412,1.05843397802043,0.0030095151968222,0.0134998384058657,0.000610406112012147,0.37375387542554,0.355658674013504,0.407333009649895,0.0516743356363917,0.00413260087677866,0.00144955911732416,0.0231269958953013,0.452776123372654
PeriMac->Beta,COL1A2_ITGB1,0.692947185266439,0.751912518600626,0.868353629620804,0.00301151427131363,0.191974353601123,0.0003547834924647,0.0254892091354267,0.117819423007163,0.325537289305626,0.207717866298463,0.00413473728625457,0.000883454462816531,0.245676604526174,0.0443257536941201
PeriMac->Beta,ALB_FCGRT,0.535968495102179,0.731846498107791,0.595779875406437,0.00354189550410151,0.00133438141682798,0.20675460837964,0.0555956712385798,0.449392880213896,0.15263119220332,-0.296761688,0.00480774174363488,0.268645631280858,0.00291433150460581,0.0882968007145833
PeriMac->Beta,VWF_GP1BB,0.325340494117469,0.260869966449283,0.344700024707418,0.00373218789906374,0.0967337683751466,0.04283330800819,0.0015324958972457,-0.318619542,0.0833910005545993,0.402010542274799,0.00504933107163597,0.0671736881473431,0.133956738628766,0.00364080993807054
PeriMac->Beta,CLSTN1_NRXN3,0.252840509447428,0.196455897055837,0.253499368093356,0.00376582631684215,0.0123256964055015,0.419376476551251,0.00296145477586997,-0.364022151,0.00375452408946867,0.367776675213474,0.00509243663141542,0.490895190522031,0.0212993879345162,0.00654607823443485
PeriMac->Beta,WNT4_FZD9,0.211398816642483,0.175638334101278,0.182675321117362,0.00381657190026372,0.00241614955439133,0.263797161358403,0.0239144907508147,-0.267359544,-0.210685556,0.0566739871493807,0.00515358753411407,0.330783696888182,0.00496318939514696,0.0419109498969293
PeriMac->Beta,EDIL3_ITGAV,0.264406302599438,0.205629996163969,0.200378294050314,0.00383556881526595,0.00203243420930194,0.0165717819521502,0.307430264853815,-0.362705833,-0.400030327,-0.037324495,0.00517774036306814,0.0285785879182209,0.0042555659493532,0.38394825419151
PeriMac->Beta,NID1_ITGAV,0.305658414163652,0.260482591967448,0.351038773123739,0.00391814317717582,0.0733890509980303,0.0871954499950623,0.00132990245902148,-0.230733321,0.19971010589774,0.430443426710713,0.0052792777057195,0.125537761622772,0.104690788761221,0.0032055116635019
PeriMac->Beta,COL6A2_ITGA2,0.300298772068149,0.226971067716607,0.24012971689237,0.00396011120861168,0.00166810083651942,0.12789483865729,0.070665669537887,-0.403890167,-0.322584621,0.0813055457149162,0.00533104084915705,0.176505852196361,0.00356228127359276,0.108220220891382
PeriMac->Beta,LAMA3_ITGB1,0.447542628323568,0.364752672092514,0.459303416402474,0.00411984322344817,0.0127840378068932,0.396010299180447,0.00338175587593331,-0.295106558,0.0374224093434899,0.332528966848542,0.00552868617297145,0.467741459191443,0.0220177288593182,0.00736344976907233
PeriMac->Beta,CNTN1_NRCAM,0.271972554930455,0.198684862407368,0.241515225281892,0.00455250179282643,0.00127551974305712,0.330716199472823,0.0681497129804813,-0.452979113,-0.171346934,0.281632179761035,0.00607608194641365,0.400535018006037,0.00279888218377719,0.104953384079383
PeriMac->Beta,PRSS2_F2RL2,1.63146376664637,1.96028707323961,2.15169836973393,0.00461578146940392,0.0645039237699471,0.000539689229554574,0.122276223728798,0.264897997585561,0.399308904568144,0.134410906982583,0.00615525511745529,0.00129480996226468,0.0930404516663162,0.175421810972352
PeriMac->Beta,CALM1_ADCY8,0.298717125807544,0.247422125259202,0.210265653564052,0.00473326055827895,0.0209756358120761,0.00102609316008805,0.307430264853815,-0.271805434,-0.506566741,-0.234761307,0.00630200606446275,0.00232880705530445,0.0342183859487663,0.38394825419151
PeriMac->Beta,COL6A1_ITGA2,0.284214785954032,0.29310282934615,0.338929063627629,0.00482656589562995,0.666756769325418,0.00725326963400939,0.00191649931950086,0.0444252832795704,0.254001743249468,0.209576459969897,0.00641616170363918,0.0136601048144639,0.720100398780537,0.004422836628477
PeriMac->Beta,COL6A2_ITGB1,0.546050174910137,0.573697460278925,0.684717656372533,0.00494150131624325,0.593198171470101,0.00252423659187616,0.00486329045481916,0.0712566090110751,0.326475692071883,0.255219083060808,0.00655587032824876,0.00526993709243975,0.652671920673874,0.0102103923840993
PeriMac->Beta,LAMA1_SDC2,0.33436542115079,0.276191940750742,0.243125297063118,0.00534833079518014,0.0104384257903547,0.00181685390708232,0.684895263914489,-0.275754433,-0.459725642,-0.183971209,0.00705746635414349,0.00391128854033323,0.0183785646984577,0.744517308215168
PeriMac->Beta,COL1A2_CD44,0.598120224579352,0.50238161211177,0.637189171454464,0.005358329706612,0.24775062734751,0.0711336456883662,0.000787906912266962,-0.25165184,0.0912862483202338,0.342938088472373,0.00706966046722443,0.104923252210797,0.307357075661335,0.00200753774313746
PeriMac->Beta,CDH1_ITGAE,0.312685859580156,0.222834892715002,0.24263797495664,0.00538475265819591,0.00216924664478286,0.0797321674741009,0.130407136198602,-0.488738821,-0.365908615,0.122830206438901,0.00710251312155705,0.116100789603249,0.00451164608752163,0.185432586350695
PeriMac->Beta,LAMC1_ITGA2,0.288567475951695,0.220773025931561,0.201059187043125,0.00559569936594488,0.0132573982148825,0.00110921040428255,0.860095032568501,-0.386344789,-0.521288444,-0.134943655,0.00737033093554559,0.00249799967434757,0.0227547978442526,0.890945748339697
PeriMac->Beta,MIF_CXCR4,0.60571211631612,0.563646458097324,0.449828807338244,0.00582187151608948,0.339528259297926,0.00301677757374383,0.00800175553810708,-0.103841741,-0.429256214,-0.325414474,0.00764879119747643,0.00617929319452843,0.403660413297356,0.0158337665802849
PeriMac->Beta,B2M_LILRB2,0.624177509960283,0.721768632394237,0.777054361959487,0.00600348671434882,0.10479320149695,0.000370216873642001,0.145637822138525,0.209580069920484,0.316059155480574,0.10647908556009,0.00787076937054755,0.000918941723611651,0.143772758282622,0.203674603434507
PeriMac->Beta,CXCL12_CD4,0.253430022458845,0.189920853522099,0.230367137758873,0.00610135300496605,0.0044290609183244,0.527187134948201,0.0180265698575596,-0.416189117,-0.137652513,0.278536603652528,0.00798672759336561,0.595351282663053,0.00852719922520743,0.0326381684066995
PeriMac->Beta,WNT10A_LRP5,0.289061461562211,0.235798786504378,0.296510842016079,0.00763183554849612,0.0206185163857427,0.582356576807221,0.00450364264519332,-0.293819983,0.0367085805060793,0.330528563331002,0.00985461821655202,0.645386972609927,0.0337124488775123,0.00951629825681933
PeriMac->Beta,CALM3_ADCY8,0.385019264148912,0.278768916902719,0.298725271820332,0.00800615894100085,0.00257637684240206,0.0797321674741009,0.239440027377395,-0.465860923,-0.366111338,0.0997495850376912,0.0103108450368157,0.116100789603249,0.00526680762347719,0.31194086248273
PeriMac->Beta,GNAI2_LPAR3,0.279435519708971,0.335190715065783,0.34012381869509,0.00823479805709239,0.0147717357008796,0.00252423659187616,0.752293852487721,0.262466768649607,0.283544623071704,0.0210778544220967,0.0105921395858464,0.00526993709243975,0.0250392059999645,0.80226329667377
PeriMac->Beta,COL4A1_ITGA2,0.312813312564241,0.233470237113329,0.221724094306882,0.00834614137633184,0.00986908566453155,0.004125506110241,0.944447170784377,-0.422063264,-0.496536356,-0.074473092,0.0107264820554455,0.0081965326935736,0.0174684688953985,0.958316459162043
PeriMac->Beta,F8_LDLR,0.253448846903531,0.169772230152354,0.181493620997323,0.00865889039745101,0.00311711012501235,0.0575554900673918,0.288409106233359,-0.578094103,-0.481775756,0.0963183469641821,0.0110963222458336,0.0871271683460938,0.00625862311075402,0.364289795930234
PeriMac->Beta,COL6A3_ITGB8,0.292892774038422,0.27248128067334,0.346135572973139,0.00888737052360985,0.352787101203665,0.041763217399736,0.00202541340144243,-0.10421548,0.240964615812377,0.345180095479257,0.011367255209685,0.0657275673873354,0.417402090313012,0.00465690318182277
PeriMac->Beta,LAMB1_ITGAV,0.365041142608488,0.359834223538941,0.449032271091608,0.00898643008112284,0.748570886293627,0.00877905176264573,0.00427744939227028,-0.020726668,0.298760057033794,0.31948672497148,0.0114829342187279,0.0162286578019567,0.791416664099167,0.00909092001164209
PeriMac->Beta,CALM1_PTH2R,0.238996274176583,0.218065703720523,0.16179486833296,0.00939052973961998,0.229690364063957,0.00102609316008805,0.062180742540638,-0.132225239,-0.562822274,-0.430597035,0.0119681461143838,0.00232880705530445,0.287177302662225,0.0970585619844496
PeriMac->Beta,LAMA3_SDC2,0.327923664479977,0.259015927112527,0.2735582846475,0.00982271286353657,0.00425222598212356,0.0497449770742118,0.259657653521226,-0.340319203,-0.261511768,0.0788074345611873,0.012495058719633,0.0767103895103733,0.00823091179938753,0.334912415935563
PeriMac->Beta,IL24_IL22RA1,0.28776870729248,0.238573107509266,0.302000075148018,0.0102812081885072,0.109018205873348,0.263797161358403,0.00191649931950086,-0.270478289,0.0696391900589419,0.3401174788648,0.0130320845199613,0.330783696888182,0.148977706473278,0.004422836628477
PeriMac->Beta,CDH1_ITGA2,0.310185188535458,0.240135375287161,0.278021554225412,0.0106162127508237,0.0116654675231401,0.66227543717883,0.0128449550748206,-0.369281849,-0.157933063,0.211348786227259,0.013431172187669,0.718672089111694,0.0202711402861123,0.0241762144601314
PeriMac->Beta,SEMA3C_NRP1,0.260889945291542,0.20889633863273,0.246917227617191,0.0113125690986415,0.0150384293514833,0.889693844435737,0.0106608969732281,-0.320654136,-0.079413845,0.241240290716959,0.0142522480486397,0.914094523724701,0.0254542676448261,0.0204914170546614
